i Re Im
837 0.825642 1.16573e-15
838 0.81991 1.27676e-15
839 0.814185 1.3739e-15
840 0.808467 1.02696e-15
841 0.802756 1.04083e-15
842 0.797053 9.71445e-16
843 0.791356 1.20737e-15
844 0.785666 1.33227e-15
845 0.779984 1.33227e-15
846 0.77431 1.40166e-15
847 0.768643 1.34615e-15
848 0.762983 9.99201e-16
849 0.757332 7.56339e-16
850 0.751688 1.05471e-15
851 0.746052 1.07553e-15
852 0.740424 1.31145e-15
853 0.734805 1.45023e-15
854 0.729193 1.34615e-15
855 0.72359 1.5335e-15
856 0.717996 1.3739e-15
857 0.71241 1.40166e-15
858 0.706832 1.50574e-15
859 0.701263 1.25594e-15
860 0.695703 1.47105e-15
861 0.690152 1.29063e-15
862 0.68461 1.249e-15
863 0.679077 1.47798e-15
864 0.673553 1.2837e-15
865 0.668039 1.23512e-15
866 0.662534 1.5335e-15
867 0.657038 1.32533e-15
868 0.651552 1.42941e-15
869 0.646075 1.29757e-15
870 0.640608 1.51962e-15
871 0.635151 1.66533e-15
872 0.629704 1.45717e-15
873 0.624267 1.59595e-15
874 0.61884 1.63758e-15
875 0.613423 1.64452e-15
876 0.608017 1.54737e-15
877 0.602621 1.5335e-15
878 0.597235 1.45023e-15
879 0.59186 1.60288e-15
880 0.586495 1.39472e-15
881 0.581141 1.11022e-15
882 0.575798 1.35308e-15
883 0.570466 1.44676e-15
884 0.565145 1.36002e-15
885 0.559835 1.50227e-15
886 0.554536 1.50227e-15
887 0.549248 1.61676e-15
888 0.543971 1.33227e-15
889 0.538706 1.50227e-15
890 0.533453 1.65493e-15
891 0.528211 1.64105e-15
892 0.52298 1.43635e-15
893 0.517762 1.65146e-15
894 0.512555 1.36349e-15
895 0.50736 1.40513e-15
896 0.502177 1.71044e-15
897 0.497006 1.56125e-15
898 0.491848 1.90126e-15
899 0.486701 1.73819e-15
900 0.481567 1.79023e-15
901 0.476446 1.67574e-15
902 0.471336 1.67921e-15
903 0.46624 1.89085e-15
904 0.461156 1.60288e-15
905 0.456084 1.43288e-15
906 0.451026 1.50227e-15
907 0.44598 1.63411e-15
908 0.440947 1.57339e-15
909 0.435928 1.68095e-15
910 0.430921 1.52829e-15
911 0.425928 1.46237e-15
912 0.420948 1.1241e-15
913 0.415981 9.4369e-16
914 0.411027 1.04257e-15
915 0.406088 1.14839e-15
916 0.401161 1.15186e-15
917 0.396249 1.21084e-15
918 0.39135 1.29757e-15
919 0.386465 1.36696e-15
920 0.381593 1.4086e-15
921 0.376736 1.23512e-15
922 0.371893 1.28543e-15
923 0.367064 1.14492e-15
924 0.362249 1.22298e-15
925 0.357448 1.10155e-15
926 0.352661 1.0339e-15
927 0.347889 1.1614e-15
928 0.343132 8.82107e-16
929 0.338388 8.2833e-16
