i Re Im
608 -0.613742 -2.77556e-16
609 -0.610578 -5.55112e-17
610 -0.607212 -1.11022e-16
611 -0.603643 -1.66533e-16
612 -0.599876 -3.33067e-16
613 -0.595911 5.55112e-17
614 -0.591752 1.11022e-16
615 -0.587399 2.77556e-16
616 -0.582856 1.66533e-16
617 -0.578126 1.11022e-16
618 -0.57321 1.38778e-16
619 -0.568111 3.33067e-16
620 -0.562832 1.11022e-16
621 -0.557375 2.22045e-16
622 -0.551744 2.498e-16
623 -0.545942 1.38778e-16
624 -0.53997 -8.32667e-17
625 -0.533834 1.94289e-16
626 -0.527535 5.55112e-17
627 -0.521077 1.66533e-16
628 -0.514463 1.94289e-16
629 -0.507696 8.32667e-17
630 -0.500781 3.60822e-16
631 -0.49372 2.77556e-16
632 -0.486517 5.27356e-16
633 -0.479176 4.85723e-16
634 -0.4717 3.46945e-16
635 -0.464094 4.71845e-16
636 -0.45636 5.75928e-16
637 -0.448504 3.747e-16
638 -0.440528 7.91034e-16
639 -0.432437 7.70217e-16
640 -0.424236 7.36061e-16
641 -0.415927 8.34402e-16
642 -0.407516 7.38992e-16
643 -0.399006 7.91034e-16
644 -0.390403 7.21645e-16
645 -0.381709 8.39606e-16
646 -0.372931 6.80012e-16
647 -0.364071 5.68989e-16
648 -0.355135 7.77156e-16
649 -0.346127 8.32667e-16
650 -0.337051 5.41234e-16
651 -0.327913 6.10623e-16
652 -0.318717 2.498e-16
653 -0.309468 4.996e-16
654 -0.30017 7.49401e-16
655 -0.290828 8.60423e-16
656 -0.281447 7.49401e-16
657 -0.272032 4.996e-16
658 -0.262587 3.05311e-16
659 -0.253118 4.16334e-16
660 -0.243629 5.27356e-16
661 -0.234126 7.77156e-16
662 -0.224613 6.10623e-16
663 -0.215095 6.38378e-16
664 -0.205578 7.21645e-16
665 -0.196066 6.66134e-16
666 -0.186564 6.10623e-16
667 -0.177078 7.77156e-16
668 -0.167611 2.22045e-16
669 -0.158171 3.33067e-16
670 -0.148761 2.77556e-16
671 -0.139386 4.44089e-16
672 -0.130052 2.77556e-16
673 -0.120764 3.88578e-16
674 -0.111527 4.44089e-16
675 -0.102346 2.77556e-16
676 -0.0932254 4.996e-16
677 -0.084171 4.996e-16
678 -0.0751877 4.44089e-16
679 -0.0662806 3.88578e-16
680 -0.0574545 4.996e-16
681 -0.0487147 5.55112e-16
682 -0.040066 4.996e-16
683 -0.0315135 4.44089e-16
684 -0.0230622 3.88578e-16
685 -0.0147169 4.996e-16
686 -0.0064826 6.10623e-16
687 0.00163578 4.996e-16
688 0.00963337 4.996e-16
689 0.0175054 5.55112e-16
690 0.0252469 4.44089e-16
691 0.0328532 3.33067e-16
692 0.0403196 4.996e-16
693 0.0476413 4.44089e-16
694 0.0548137 3.88578e-16
695 0.061832 2.22045e-16
696 0.0686919 4.996e-16
697 0.0753886 3.05311e-16
698 0.0819176 4.44089e-16
699 0.0882746 2.77556e-16
700 0.0944552 3.33067e-16
701 0.100455 2.22045e-16
702 0.106269 3.60822e-16
703 0.111894 1.38778e-16
704 0.117326 2.77556e-16
705 0.12256 2.77556e-16
706 0.127592 3.60822e-16
707 0.132418 1.38778e-16
708 0.137034 1.11022e-16
709 0.141437 1.11022e-16
710 0.145622 1.66533e-16
711 0.149586 -5.55112e-17
712 0.153325 1.94289e-16
713 0.156835 0
714 0.160113 5.55112e-17
715 0.163156 1.94289e-16
716 0.165959 5.55112e-17
717 0.16852 2.498e-16
718 0.170836 1.249e-16
719 0.172902 2.35922e-16
720 0.174717 8.32667e-17
721 0.176277 1.52656e-16
722 0.177579 -2.77556e-17
723 0.17862 -1.11022e-16
724 0.179398 6.93889e-17
725 0.17991 9.71445e-17
726 0.180153 5.55112e-17
727 0.180125 2.77556e-17
728 0.179823 1.80411e-16
729 0.179246 1.31839e-16
730 0.17839 9.02056e-17
731 0.177254 1.38778e-16
732 0.175835 -3.46945e-17
733 0.174133 1.11022e-16
734 0.172144 1.38778e-16
735 0.169867 -2.08167e-17
736 0.167301 -2.77556e-17
737 0.164444 7.63278e-17
738 0.161294 2.77556e-17
739 0.15785 -2.77556e-17
740 0.154112 -1.38778e-17
741 0.150077 1.38778e-16
742 0.145744 1.04083e-16
743 0.141114 -9.02056e-17
744 0.136184 8.32667e-17
745 0.130955 -2.42861e-17
746 0.125425 1.66533e-16
747 0.119594 1.70003e-16
748 0.113461 1.9082e-17
749 0.107027 1.97758e-16
750 0.100291 -1.38778e-17
751 0.0932535 4.85723e-17
752 0.0859136 -2.77556e-17
753 0.0782719 -6.76542e-17
754 0.0703285 -9.88792e-17
755 0.0620839 -1.71738e-16
756 0.0535384 -1.82146e-16
757 0.0446926 5.20417e-18
758 0.0355473 5.81132e-17
759 0.0261031 2.51535e-17
760 0.016361 1.44416e-16
761 0.00632195 -3.38271e-17
762 -0.00401293 1.39645e-16
763 -0.0146424 8.63025e-17
764 -0.0255652 7.00395e-17
765 -0.0367798 1.70437e-16
766 -0.0482848 5.04154e-17
767 -0.0600784 -1.57209e-16
768 -0.0721588 1.15053e-16
769 -0.0845243 1.14953e-16
770 -0.0971728 4.11997e-17
771 -0.110102 1.71304e-17
772 -0.123311 -2.36356e-17
773 -0.136795 8.23994e-18
774 -0.150554 2.25514e-17
775 -0.164584 -6.89553e-17
776 -0.178883 4.25007e-17
777 -0.193449 -1.24033e-16
778 -0.208277 1.12757e-17
779 -0.223366 9.80119e-17
780 -0.238713 -2.51535e-17
781 -0.254313 2.06432e-16
782 -0.270165 -2.08167e-17
783 -0.286264 8.32667e-17
784 -0.302608 -1.16226e-16
785 -0.319192 -1.19696e-16
786 -0.336013 -1.66533e-16
787 -0.353068 -2.22045e-16
788 -0.370351 -3.40006e-16
789 -0.387861 -4.16334e-17
790 -0.405592 -2.39392e-16
