iteracja	x	epsilon
868	2.198114	0.000053
869	2.198062	0.000368
870	2.237197	0.000177
871	2.197743	0.039083
872	2.198060	0.000318
873	2.197741	0.039136
874	2.198345	0.000003
875	2.198341	0.000284
876	2.196354	0.000601
877	2.198096	0.001991
878	2.198472	0.000245
879	2.198136	0.002118
880	2.197988	0.000040
881	2.198020	0.000484
882	2.197567	0.000116
883	2.191533	0.000421
884	2.198147	0.006487
885	2.197603	0.000580
886	2.198159	0.006070
887	2.198443	0.000012
888	2.198486	0.000841
889	2.198031	0.000327
890	2.198176	0.000412
891	2.197929	0.000310
892	2.197775	0.000102
893	2.197384	0.000401
894	2.198122	0.000545
895	2.197898	0.000347
896	2.198258	0.000514
897	2.194710	0.000136
898	2.197496	0.003188
899	2.198298	0.000762
900	2.197578	0.003588
901	2.198984	0.000082
902	2.199437	0.000686
903	2.197171	0.001859
904	2.198564	0.001813
905	2.195972	0.000872
906	2.199980	0.001198
907	2.198821	0.001416
908	2.344345	0.002849
909	2.198564	0.144364
910	2.198818	0.000257
911	2.198562	0.145526
912	2.198297	0.000001
913	2.198296	0.000522
914	2.198134	0.000266
915	2.198061	0.000163
916	2.197971	0.000236
917	2.197774	0.000163
918	2.196317	0.000287
919	2.198180	0.001655
920	2.197829	0.000405
921	2.198236	0.001512
922	2.187992	0.000057
923	2.196574	0.009837
924	2.198248	0.001662
925	2.196764	0.010256
926	2.198345	0.000191
927	2.198363	0.000097
928	2.198538	0.001599
929	2.198104	0.000194
930	2.198160	0.000260
931	2.198006	0.000379
932	2.197865	0.000098
933	2.197691	0.000294
934	2.198411	0.000315
935	2.198024	0.000546
936	2.196266	0.000333
937	2.197903	0.002145
938	2.198055	0.000121
939	2.197937	0.001789
940	2.199371	0.000034
941	2.204924	0.001316
942	2.197894	0.006987
943	2.199145	0.001477
944	2.197885	0.005779
945	2.197834	0.000009
946	2.197822	0.001311
947	2.198118	0.000063
948	2.198066	0.000284
949	2.199229	0.000244
950	2.197759	0.001111
951	2.198023	0.000307
952	2.197649	0.001206
953	2.198264	0.000111
954	2.198183	0.000242
955	2.199671	0.000534
956	2.197992	0.001407
957	2.198137	0.000191
958	2.197961	0.001534
959	2.197588	0.000031
960	2.197413	0.000550
961	2.198080	0.000548
962	2.197810	0.000492
963	2.198195	0.000398
964	2.198612	0.000116
965	2.182654	0.000802
966	2.198084	0.015541
967	2.198644	0.000528
968	2.198088	0.015989
969	2.198003	0.000004
970	2.198006	0.000641
971	2.197429	0.000082
972	2.192355	0.000574
973	2.198099	0.005652
974	2.197491	0.000670
975	2.198111	0.005137
976	2.198251	0.000011
977	2.198273	0.000759
978	2.197933	0.000162
979	2.198031	0.000318
980	2.197657	0.000241
981	2.199511	0.000275
982	2.198202	0.001480
983	2.197514	0.000545
984	2.198148	0.001997
985	2.198531	0.000054
986	2.198368	0.001017
987	2.198040	0.000220
988	2.198160	0.000492
989	2.197908	0.000208
990	2.197771	0.000131
991	2.197021	0.000389
992	2.198097	0.000887
993	2.197858	0.000326
994	2.198167	0.000836
995	2.199460	0.000070
996	2.194969	0.001602
997	2.198118	0.003198
998	2.200891	0.001342
999	2.198141	0.005922
1000	2.198097	0.000023
1001	2.198118	0.002794
1002	2.197839	0.000023
1003	2.197810	0.000258
1004	2.199635	0.000308
1005	2.198061	0.001797
1006	2.197750	0.000251
1007	2.198029	0.001886
1008	2.198358	0.000033
1009	2.198268	0.000608
1010	2.197892	0.000239
1011	2.198070	0.000466
1012	2.197494	0.000198
1013	2.199587	0.000398
1014	2.198202	0.001517
1015	2.197213	0.000707
1016	2.198150	0.002374
1017	2.198361	0.000052
1018	2.198268	0.001148
1019	2.198004	0.000118
1020	2.198071	0.000357
1021	2.197813	0.000197
1022	2.197316	0.000191
1023	2.198568	0.000755
1024	2.197914	0.000754
1025	2.201852	0.000597
1026	2.197790	0.003284
1027	2.197898	0.000123
1028	2.197764	0.003954
1029	2.198099	0.000026
1030	2.198083	0.000201
1031	2.198550	0.000319
1032	2.197759	0.000451
1033	2.197990	0.000324
1034	2.197404	0.000560
1035	2.198199	0.000355
1036	2.198077	0.000208
1037	2.198430	0.000673
1038	2.197866	0.000231
1039	2.197962	0.000210
1040	2.197631	0.000468
1041	2.198275	0.000236
1042	2.198094	0.000313
1043	2.199645	0.000464
1044	2.197929	0.001370
1045	2.198059	0.000165
1046	2.197893	0.001586
1047	2.203082	0.000036
1048	2.199243	0.005023
1049	2.197881	0.001349
1050	2.198995	0.005201
1051	2.197822	0.000247
1052	2.197806	0.000059
1053	2.197721	0.001190
1054	2.198048	0.000102
1055	2.197996	0.000242
1056	2.198283	0.000275
1057	2.196793	0.000235
1058	2.197809	0.001203
1059	2.198427	0.000474
1060	2.197872	0.001633
1061	2.197433	0.000064
1062	2.197644	0.000994
1063	2.197971	0.000228
1064	2.197838	0.000539
1065	2.198109	0.000194
1066	2.198249	0.000138
1067	2.199331	0.000411
1068	2.197931	0.001222
1069	2.198177	0.000319
1070	2.197886	0.001154
1071	2.197406	0.000045
1072	2.196862	0.000772
1073	2.197978	0.001024
1074	2.197641	0.000572
1075	2.198024	0.000779
1076	2.198116	0.000046
1077	2.198181	0.000476
1078	2.197648	0.000157
1079	2.197896	0.000468
1080	2.198680	0.000285
1081	2.198034	0.001032
1082	2.197787	0.000138
1083	2.197960	0.000893
1084	2.198333	0.000074
1085	2.198173	0.000546
1086	2.197777	0.000213
1087	2.198011	0.000556
1088	2.199802	0.000162
1089	2.198257	0.002025
1090	2.197982	0.000246
1091	2.198200	0.001820
1092	2.197764	0.000057
1093	2.197695	0.000219
1094	2.200775	0.000505
1095	2.197964	0.003012
1096	2.197638	0.000268
1097	2.197944	0.003138
1098	2.198098	0.000019
1099	2.198077	0.000460
1100	2.196631	0.000132
1101	2.197744	0.001467
1102	2.198122	0.000332
1103	2.197817	0.001491
1104	2.198622	0.000073
1105	2.199216	0.000500
1106	2.197622	0.001399
1107	2.198384	0.000999
1108	2.197392	0.000832
1109	2.170464	0.000230
1110	2.199282	0.027920
1111	2.197409	0.001890
1112	2.199357	0.026945
1113	2.196836	0.000075
1114	2.196892	0.000574
1115	2.189846	0.002465
1116	2.197457	0.006990
1117	2.197035	0.000565
1118	2.197498	0.007189
1119	2.197688	0.000041
1120	2.197706	0.000653
1121	2.197872	0.000208
1122	2.197935	0.000184
1123	2.198035	0.000229
1124	2.198227	0.000163
1125	2.199789	0.000292
1126	2.197831	0.001755
1127	2.198176	0.000396
1128	2.197782	0.001613
1129	2.186819	0.000049
1130	2.200158	0.011357
1131	2.197791	0.002377
1132	2.200718	0.010972
1133	2.197742	0.000559
1134	2.197753	0.000049
1135	2.197695	0.002964
1136	2.197978	0.000047
1137	2.197958	0.000224
1138	2.198139	0.000263
1139	2.198801	0.000161
1140	2.197404	0.000843
1141	2.198063	0.000735
1142	2.195445	0.000738
1143	2.198169	0.001959
1144	2.198086	0.000106
1145	2.198203	0.002641
1146	2.197852	0.000034
1147	2.197880	0.000234
1148	2.196508	0.000323
