iteracja	x	epsilon
1058	2.198058	0.000447
1059	2.197842	0.000078
1060	2.197715	0.000359
1061	2.197917	0.000343
1062	2.195132	0.000076
1063	2.197353	0.002584
1064	2.198861	0.000564
1065	2.198099	0.003730
1066	2.198022	0.000746
1067	2.196594	0.000839
1068	2.198130	0.001505
1069	2.197175	0.000108
1070	2.197725	0.000581
1071	2.197779	0.000405
1072	2.198334	0.000604
1073	2.201411	0.000609
1074	2.198050	0.003633
1075	2.197820	0.000285
1076	2.196548	0.003591
1077	2.197892	0.001501
1078	2.198415	0.000072
1079	2.198804	0.001867
1080	2.198169	0.000912
1081	2.197778	0.000246
1082	2.197413	0.001026
1083	2.197972	0.000756
1084	2.198554	0.000194
1085	2.197141	0.001141
1086	2.198417	0.000831
1087	2.197974	0.000138
1088	2.197948	0.000832
1089	2.198331	0.000469
1090	2.197922	0.000357
1091	2.198213	0.000026
1092	2.198173	0.000117
1093	2.198106	0.000251
1094	2.199412	0.000108
1095	2.198441	0.001239
1096	2.197214	0.000335
1097	2.197832	0.002198
1098	2.197958	0.000608
1099	2.198642	0.000745
1100	2.197763	0.000810
1101	2.198408	0.000195
1102	2.198107	0.000235
1103	2.198063	0.000344
1104	2.201724	0.000345
1105	2.198200	0.003617
1106	2.196962	0.000137
1107	2.197707	0.004763
1108	2.197836	0.000493
1109	2.198279	0.000875
1110	2.193410	0.000573
1111	2.198065	0.004426
1112	2.197840	0.000215
1113	2.197354	0.004430
1114	2.197924	0.000711
1115	2.198856	0.000083
1116	2.189402	0.001503
1117	2.198355	0.008521
1118	2.197968	0.000502
1119	2.197875	0.008566
1120	2.198270	0.000479
1121	2.197834	0.000303
1122	2.198092	0.000042
1123	2.198059	0.000179
1124	2.197945	0.000225
1125	2.198171	0.000147
1126	2.198006	0.000113
1127	2.198101	0.000061
1128	2.198185	0.000070
1129	2.198112	0.000179
1130	2.198460	0.000010
1131	2.198506	0.000275
1132	2.146936	0.000394
1133	2.197726	0.051524
1134	2.197989	0.000780
1135	2.198128	0.051053
1136	2.197703	0.000402
1137	2.198117	0.000286
1138	2.197905	0.000011
1139	2.197895	0.000202
1140	2.198021	0.000222
1141	2.197758	0.000115
1142	2.197922	0.000137
